"subject","V1","V2","V3","V4","V5","V6"
1,847.147969783446,1.92122686129627,0.298221381658037,0.0810566205336795,0.312818785555662,0
3,655.452610137955,1.56299160780428,0.450034965520438,9.99999994137946,4.11473531964054,0
4,823.132750241964,1.84168603515009,0.462515159164769,-0.170386719348166,0.192721674163622,0
5,392.111093444293,1.30438206763913,0.736708456540747,1.40169196411022,-7.68878817405657,0
6,593.845375475437,1.52823572364976,0.620527120965228,0.414394496849446,-1.87462066136158,0
7,858.341163893016,1.89939616628288,0.543191444560756,4.81883890636186,3.99103309583896,0
8,1084.99782751555,2.32277555306889,0.126179738625767,-9.15211654073111,-9.0293534155488,0
9,679.607943871101,1.60009805484345,0.368760320555751,-4.35797237432236,-9.54149158407143,0
10,725.616926248146,1.67538688710117,0.593723378136319,8.5746877424466,1.06726782929555,0
11,796.176752469168,1.7856020070646,0.432282369655428,0.142316097606977,0.105468778925817,0
12,593.192926917052,1.5046840967316,0.342303195538144,-2.29147049308424,6.51387324058578,0
13,677.740770968089,1.57400388220426,0.274999755727037,0.0769945523708511,0.171482586160749,0
14,858.529582137454,1.81904359928522,0.367841626117764,-4.12943076624888,1.5385036060539,0
15,1013.93948416912,2.0882024190126,0.169866384699578,-7.28251573262975,-1.23114417007101,0
16,648.775162692107,1.54996726377954,0.421256333260661,-2.22548008945272,6.75940622961036,0
17,653.245188206912,1.60193300830524,0.356177755783094,8.67609938896212,3.3767559139295,0
18,835.500752568856,1.8283714205193,0.343312682989688,0.0889961560405674,7.62692453171316,0
19,887.353398643142,1.93376267554029,0.259023613218062,-0.0807059760267881,0.185489957043724,0
20,874.990213612427,1.91911652838852,0.265075925187557,8.88998192350506,-4.40631584287773,0
21,726.051282690319,1.65979620231426,0.424164761443102,-0.100763773696037,0.0935295019784608,0
22,644.40417826854,1.5615407889184,0.37687686428054,5.53885805762545,-6.45385917660241,0
